review,sentiment
"i stopped this movie at 48 minutes and change... i don't know...maybe it's because i'm not Swedish...or french(the cannes commenter)...or any of those OTHER sleepy places from which the previous reviewers held forth... born and raised in NY. lived near san francisco for a quarter of a century. and now Holland. i love a good independent film as much as the next movie enthusiast... but this, in a word, isn't funny. see? now THAT's funny...that you're thinking that i made a mistake. i said, 'in a word' but then said, 'isn't funny'... nope. no mistake. if this is your type of humor, i'd say you haven't really had much of a life... consider your appreciation of this film a symptom... and PLEASE don't EVER write another review...i have a tendency to believe them when they're unanimous. even if there only were about 3 reviews before mine...i figured i might ACtually be able to save someone ELSE the boredom...the anticipation of laughter that never materializes... i DID smile once or twice, though... when i started the movie...and when i stopped it. that should be 10 lines.",negative
"Guy Richie's third proper film (not counting the God-awful ""Swept Away"" is a complex action thriller concerned with gambling, gangsters and chess. Fans of Richie's previous efforts will probably hate Revolver as much as I did, with its twists and turns. Richie stalwart Jason Statham plays Jake, a newly-released ex-con, out to wreak revenge on the ridiculously named Dorothy Macha (a superbly OTT Ray Liotta) but instead gets embroiled with a couple of other cons, (one of which is Andre 3000 from rap outfit Outkast) who throw him and us the audience, a number of red herrings throughout the film, all of which becomes extremely tedious. The high point of this mess of a movie is the bit in the restaurant, where the dialogue gets turned down in favour of a superbly shot, slow-mo shootout set to Beethoven's Moonlight Sonata. All in all, Revolver is a flawed work, not truly awful but far from Richie's best. That would still be Lock, Stock. If this film was a school homework assignment it would be graded 'must try harder!'",negative
"I have watched this film twice now and think its quite good for the limited equipment used to create this film. (filmed in 1947) Dr. Heyerdahl explains his theory about the migration of south American Pre-Colubian Indians to the Polynesia's islands by way raft fell of large balsa trees. This documentary follows Dr. Heyerdahl and crew as they select balsa trees in Equidor and float with them down river to the pacific for assembly in Peru. They launch off on a 101 day sea adventure testing the strength of their primitive raft surviving only by means available to natives of that era. See for yourself, a real adventure!",positive
"Well I don't know where to begin. Obviously this was a made for TV movie, so my expectations were low. I was pleasantly surprised by the overall direction of the second hour, but anything before or after that seemed to be a paint by the numbers sort of movie.<br /><br />And talk about bad chemistry between the tow lovebird detectives. ..<br /><br />I would go more in depth, but this movie doesn't really deserve it. Grade: D+ (IMDB rating 3/10)",negative
"This is an excellent film about a traditional working class family in Northern England. Filmed on location in Bolton, it stars James Mason as the father who is the dominant force within his home. Or so it seems. Cleverly, the film, based on the play, portrays the complexities of family life. The supporting cast is terrific as well, with many familiar faces lending support.",positive
"I don't see why all the people are giving this film negative reviews?!?! I loved this movie! Bled is a form of abstract art, and if you don't appreciate art, I can see why you would not like this film. It was a great twist from the average, played out vampire movie. If you are looking for a fresh, new and ingenious new vampire movie, then this is for you. But if you want one of those turn into bats, wolves and melt in the sunlight movies, then go watch your old played out Dracula flicks. Sure, it is a bit on the low budget side, but they did a great job with the budget they had. I'm very happy that I found this movie, because I was about to give up on the vampire genre fro good. I thought this film was brilliant! I give 2 thumbs up to the writer, director and everyone involved in the film.",positive
"This is my first review on IMDb.com and probably first ever written review of a film I've done of my own accord - not for some class assignment. I think that fact alone says something about this movie... not a good thing! I am no seasoned journalist or critic (though I have seen my fair share of movies), but I found this particular film so terribly painful to watch, it was necessary for my own peace of mind to vent about the experience. Where better to do it than IMDb? As I forced myself to sit through the movie, physically writhing from the inability to connect-the-dots, I was sure there would be some ""light at the end of the tunnel"" - a revelation to explain what in samhe.-.ll was going on. The movie ended and I was as enlightened as dog****. After several rewinds to review certain scenes I still could conclude nothing sensible. I found myself wanting to yell ""Does this make sense to anybody?"" I would recommend to not waste your time, but then again if I were you I'd probably want to experience it myself. If that's the case, bring a crossword puzzle or something so you don't get bored.",negative
"I'm not one of those folks who bemoans everytime a film based on an old TV show comes out. Rather, I usually run out and see it (If I had watched the show) and try to get nostalgic. But if anyone feels like running down films based on old shows, this is exhibit A (So you can actually say something more than just ""McHale's Navy""). ""Mod Squad"" is dreary, tiring, and lethargic. At least the original series was angst riddled long before anyone knew teens could be so glum, making it groundbreaking. This is just tedious. Claire Danes is nice to look at, but does nothing else but mood swing and sneak around spying on the baddies. Giovanni Ribisi's acting extent in this flick is that Droopy the Dog look for an hour and forty five minutes. And Omar Epps looks like he wants to flee the set, but the script's chlostraphobia has trapped him. Sure, the production is nice, with the now seemingly obligitory ""rave"" nightclub opening action sequence and shootouts galore. Oh, and the kids yell and get mad at each other and their superiors a lot too. It's kind of like deciding to use the Scooby Doo Mystery Machine to go on a family vacation to Hollywood with your teenage kids who you and your spouse know need heavy therapy and prescription drugs. I really wanted to like this movie, and there were promising moments, but the next scene would suck the life out of it. You can knock another Spelling remake, ""Charlie's Angels"", all you want, but at least that film knew it wanted to have fun with itself. ""The Mod Squad"" makes you wonder where the inspiration from the original series went.",negative
"I wish I would have read more reviews and more opinions about this movie before I rented it. A waste of money. A waste of time. Very little dialog. The dialog was hard to understand in every way. The storyline and plot were both weak. The only thing that was nice at all was the cinematography.<br /><br />The characters were interesting. At the same time you will spend so much time trying to figure things out, because of the lack of dialog, that you will be rewinding the movie a lot. <br /><br />Do not watch this movie. It was a mess and will leave you feeling like a mess.<br /><br />You will say, what the heck was that, when the movie ends?",negative
"Getting lost in space frozen for 15 years, that's unlikely. Falling into a star... improbable. Falling into it the day it goes supernova and explodes... ludicrous. Getting rescued by a ship just then... priceless.<br /><br />No, it's not Zaphod Beeblebrox's Heart of Gold to the rescue. It's also not the Parent of the Year awardees. After sentencing her daughter to two years' solitary confinement on an abandoned spaceship, the mother encourages her to get drunk and wander off alone with the strange man they've picked up. This foreshadows their prowess in hand to hand combat, which makes up most of the film's action. Combat highlights include for example the psycho talking close up face to face with one woman while blindly pointing the gun behind him at the other about six inches away, who obligingly simpers in the line of fire.<br /><br />In the end, the family of three abandons the metropolis-sized ship they were planning to use to observe the supernova until the last instant because it is too slow to escape the blast wave, instead using the psycho's fighter ship which they've refueled in one minute with 1600 pounds of gas propellant from a 0.7-kiloton missile. You have to love those hard sci-fi statistics! <br /><br />As long as Hollywood treats writing as an irrelevant frill, they'll continue making movies not fit to run at 3 am on the Sci fi channel.",negative
"An Insomniac's Nightmare is the story of a man's plunge into insanity. Having chronic Insomnia, Jack is plagued by hallucinations; causing him to try and determine what is real and what isn't.<br /><br />We find out interesting things about Jack near the end, and think that by the time the movie is over we will have a ""happily ever after"" Hollywood ending. Wrong. This is New York City, the place where nobody sleeps.<br /><br />Tess Nanavati (Writer and Director) has herself a good film in 'An Insomniac's Nightmare'. A talented filmmaker and writer (she made this film right after her High School Graduation), she has real potential and will be one to watch in the upcoming future.<br /><br />As I watched this short film I was constantly uncomfortable; between the music, bleak scenery, and realistic portrayal of an insomniac by Dominic Monaghan (as Jack), I desperately wanted to turn this off at times just to escape from it.",positive
"Every once in a long while a movie will come along that will be so awful that I feel compelled to warn people. If I labor all my days and I can save but one soul from watching this movie, how great will be my joy.<br /><br />Where to begin my discussion of pain. For starters, there was a musical montage every five minutes. There was no character development. Every character was a stereotype. We had swearing guy, fat guy who eats donuts, goofy foreign guy, etc. The script felt as if it were being written as the movie was being shot. The production value was so incredibly low that it felt like I was watching a junior high video presentation. Have the directors, producers, etc. ever even seen a movie before? Halestorm is getting worse and worse with every new entry. The concept for this movie sounded so funny. How could you go wrong with Gary Coleman and a handful of somewhat legitimate actors. But trust me when I say this, things went wrong, VERY WRONG.",negative
"I watched this last night for the first time in 40 years. It's bad. Really bad. But it has enough hilariously awful moments, that it's worth watching. First of all, was it deliberate to make the boy being babysat completely effeminate? He even says to Costello a la Mae West ""you fascinate me!"" as Costello does a double take. God only knows what would have have happened if the babysitter had been a hunk. THIS kid would have seduced him in a heartbeat! Then there's the principal male dancer. He is totally inept. Roar with laughter as he leaps and prances with no talent whatsoever over the giant's grave during He Never Looked Better in His Life. The two romantic leads are zeros, wastes. Abbott gets to sing one line and that was dubbed in by another singer. Geez, I guess he couldn't even carry a tune! Costello does manage to be charming in his I Fear Nothing number, and I guess very small children might like it, but there's not much to recommend it. But oh that seductive effeminate boy! THAT aspect alone blew me away! Plus the fact the family accepted anyone off the street with no references to babysit a child! Today, little femmy boy would be taken away from them!",negative
"THE FALCON AND THE SNOWMAN is a superb example of an anti-80s film. While many other films of the decade in general lacked substance, this film is pure substance. There's nothing stylish or fake or superfluous about it. It boasts two superb performances: Timothy Hutton and Sean Penn as lifelong friends Christopher Boyce and Daulton Lee, respectively. Hutton, Penn, and Tom Cruise were a triumvirate of early 80s actors who all looked headed to much bigger and better things (all 3 starred in TAPS). While Penn and Cruise's popularity soared, Hutton has been largely forgotten about, and that's a shame. Actually, Hutton is the first of the 3 to win an Oscar for supporting role in ORDINARY PEOPLE in 1980, but I think his performance in this movie is even more outstanding.<br /><br />Hutton really captures the post-Vietnam war rebelliousness in his character Chris Boyce. A failed seminary school student, Chris has a love-hate relationship with his father, well played by the great character actor Pat Hingle. The scene where Chris quotes the poem his father thought he'd long forgotten is a particularly powerful one.<br /><br />Chris gets job at Dept. of Defense and uses his hatred of U.S. gov't and its foreign policy to sell seemingly useless plans of old projects to the Soviets. He gets his buddy Daulton, a hyper drug-dealing self-server, in on it to be the courier of the project plans on microfilm. While Chris is doing it based on his beliefs, Daulton is doing it strictly for the money. The Soviet liaison is excellently played by David Suchet. Penn and Suchet have a real quirky chemistry and it's a kind of funny set of exchanges between them. But, make no mistake, this film is anything but that. It is a serious character study about pessimism, malaise, paranoia and mistrust.<br /><br />Again, the leads make this film. Hutton delivers a brilliantly understated performance as Chris, a rather smart young man who had so much potential. Penn, as usual, does a tremendous characterization as Daulton, a pathetic loser who acts before he thinks, and most of the time doesn't think at all. The ending of this fact-based film is very saddening on several levels. A truly powerful character study.",positive
"Yep, lots of shouting, screaming, cheering, arguing, celebrating, fist clinching, high fiving & fighting. You have a general idea as to why, but can never be 100% certain. A naval knowledge would be an advantage for the finer points, but then you'd probably spot the many flaws. Not an awful film & Hackman & Washington are their usual brilliant, but the plot was one you could peg pretty early on. I'm still waiting to see a submarine film where people get on with each other & don't argue, but then you probably wouldn't have a film.<br /><br />4/10",negative
"Anyone notice that Tommy only has 3 facial expressions.<br /><br />1. The angry eyes look he gives every enemy. 2. The holding of the hands to face, mouth agape and frightened eyes. 3. The smiling Tommy Turnbull.<br /><br />I have to say that i pretty much hate this show, i don't watch it but it's like Code Lyoko, we've all watched at least one, i must say that this show is borderline racist, uninteresting and pointless.<br /><br />every episode ends with robotboy winning, except for one exception when robotboy basically let this overly geeky freakazoid fly away on a jetpack.<br /><br />The jokes are pretty crude too, i think it's mostly people saying the word ""Suck"" or farting, i think the bullies of the show are quite shocking too.<br /><br />Isn't there one that hides a bowling ball under his hate, and the other uses a chain, for god sake, what kind of school is he going to. Not to mention his older brother, who is borderline psychopathic and has no other character qualities.<br /><br />The whole show i feel is ripping off megas XLR and Fosters. Like you could say the trio of coop, jamie and Kiva, as well as Robotboy being similar to Megas where he beats everyone no matter what the odds and he's free spirited despite being a robot.<br /><br />There is simply no appeal to this show, i'm surprised that it's still running.",negative
"There are so many goofy things about this movie that I can't possibly name but a few:<br /><br />BOGART's character: 1. His name  Whip McCord (too easy, so I'll leave it at that. Boy, it makes `Humphrey' sound good.) 2. His long, curly hair and silly sideburns. 3. His Black Bart get-up, complete with spurs! 4. Not sure what shade of lipgloss they've got him wearing, but it ain't none too flattering.<br /><br />CAGNEY's character (Jim Kincaid ): 1. His lipstick doesn't do him any favors, either. 2. The man is being swallowed by his hat during the entire film! Could they not find a hat to fit him? Even a LITTLE?!!?! 3. His pants are too tight in the rear. 4. He blows the smoke off his gun one too many times, if you know what I mean, and I think you do.<br /><br />If you are a casual Bogart or Cagney fan, and figure it might be a change of pace to see them in a western, do yourself a favor and forget that thought. EVEN THE HORSES LOOK EMBARRASSED! (That is, when they don't look bored.)<br /><br />In all fairness, I admit that westerns are my least favorite film genre, but I've still seen much, MUCH better than this.<br /><br />On a comedy level, or as high camp, The Oklahoma Kid works. Otherwise, it's viewer beware. Therefore, see this only if a) you must see every western out there b) you are a TRUE Cagney or Bogie completist c) any of the above comments appeal to you. Woah..",negative
"Well, this movie actually did have one redeeming quality. It made up the funniest season one episode of MST3K. I wish Rhino had released this one instead of ""The Crawling Hand.""",negative
"So I'm looking to rent a DVD and I come across this movie called 'End Game'. It stars James Woods and Cuba Gooding JR and has the synopsis of a taught political thriller. Well worth a look then. Or so I thought.<br /><br />Boy, was I wrong.<br /><br />End Game has just about the most ridiculous plot I have ever had the displeasure of enduring. Now being something of a whodunnit, I can't really tear into it as I would like without 'ruining' it for those who have yet to experience this monstrosity. But questions such as 'Why has he/she/they done this?', and 'Where on earth did they get the resources to pull this off?' are all too abundant following the film's unintentionally hilarious conclusion.<br /><br />As for the acting - you know those films where you can almost feel that an actor's realised that they've made a terrible mistake in signing on for a movie, and this then shows in their performance? This is one of those. Accompany this with a laughable script and seriously flawed, irritating direction and you have the recipe for cinematic poison.<br /><br />Of course, this didn't make it to the cinema, and for the same reason you should not allow it into your living room; it is appalling.",negative
"this was a favorite Christmas Special that I wish that they would release on vhs or dvd , since my 33 RPM got lost,and any cassettes I made are also long gone.<br /><br />I am not even a big John Denver fan but was very impressed with the music , which was mostly traditional favorites with a muppet spin ( esp Little St. Nick ! ) It also contained a few little known songs ( original ? ).<br /><br />Even though it was done at the end of the '70's this show had a timeless feel to it. Hoping to find a copy soon !!!",positive
"I guess this is the first movie that made me aware of the term ""cult flick"". It is totally a bad movie, but I can't help it, I like this movie. Richard Boone has made better and so has Joan Van Arc, but if you are in to staying up late and watching movies that don't make you think to much this one is for you.",positive
"As a South African, living in South Africa again after a 32 year stay in the UK, I am sorry to say that this movie is a huge disappointment. The three main problems I had with the movie was a) why Swank and Ejiofor - an American and a Nigerian - to play the leads. This country is bursting with talent and has no need of imports... b) Gillian Slovo has been trading off her Struggle credentials for years now. She's a very mediocre writer and even her novel doesn't stand up the flaccid direction of Mr Hooper... and c) Hilary Swank again, such a great actor, as proved in Million Dollar Baby (but that's Eastwood too), here dressed in the contemporary New York style whilst roaming freely around the poverty of the Karoo. Where was the consideration and sensitivity needed by the costumer and director? Yes, the film is ultimately moving - how could it not be? - but the overall mood at the conclusion is one of tremendous letdown. Heart's in the right place but needs a pace maker.",negative
"I gave this more than a 1 because I did think there were some moral lessons in this story and it provoked some thought and comment from my wife and I. The acting and the dialogue were mediocre and I must confess I came out feeling like I had been beaten over the head with the God this , God that and Christ is our saviour stuff. The movie and the story line did not need it. If , as I am , you are a recovering Catholic or Christian avoid this one it will make you nauseous. The movie did a good job of demonstrating the thin line between being a good citizen and how someone could become a potential stalker focused on what might have been.",negative
"This reminded me of Spinal Tap, on a more serious level. It's the story of a band doing a reunion tour, but things are not harmonious between them. I was especially impressed with the performance of Bill Nighy as Ray. You felt sorry for him, yet he had a certain creepiness about him. It's a great movie to watch if you have ever seen your favorite band get wrinkly,old and pathetic.Bittersweet, highly recommended..",positive
"This romantic comedy isn't too bad. There are some funny things happening here and there, and there are some rather memorable characters in it.<br /><br />The acting, however, is amateurish (with the exception of the banker). While some scenes are great fun, others are simply embarrassing. In particular, I found the ""romantic"" part of the story poor. <br /><br />All in all, I guess it's worth seeing if you like football and romantic comedies. It's not really a bad movie, and the ending did feel quite good. Just don't expect anything out of the ordinary. Fair enough if you have an hour and a quarter to kill.",negative
"'The second beginning' as it's title explains, shows us the beginning of the end for the human race. Set long before the matrix existed, this short anime written by the Wachowski's shows us the world that could lay infront of us in the not to distant future, set at the turn of the 21st century, the second renaissance delves into issues common with human behaviour; greed, power, control, vanity etc.<br /><br />The use of robots or artificial intellegence as slaves or servents is common among science fiction/fantasy stories. The second renaissance is no exeption to this concept, however instead of a simple man vs. machine layout, this story explains the struggle that the machines put up with, the struggle for acceptance in a world ruled by humans. Where the matrix films show us the human perspective, these short animations tell both sides of the story.<br /><br />The second renaissance part 1 + 2, answer many questions brought up by the original Matrix film, such as how the war broke out, how the sky was blackend, what led to the use of humans as batteries and it also introduces us to the machine city called 01, which may have relevance to the upcoming Matrix Revolutions film.<br /><br />I won't give away too much of the story, as I do not want to ruin the experience for perspective viewers, however, I will recommend it to anybody interested in the world of the matrix or simply anybody interested in Japanese animation (anime).<br /><br />9/10.",positive
"IT SHOULD FIRST BE SAID THAT I HAVE READ THE MANGA AND THEREFORE MY ARGUMENT IS BASED ON THE DIFFERENCES.<br /><br />This anime greatly disappointed me because it removed the comedy and high quality action of the manga and OVA. What it left behind was merely a husk of what it could have been. Many of the characters lacked the depth that is seen in the manga. Alucard is not the sympathetic character that secretly wishes for death. Walter's story lacks the betrayal. And the Nazi villains that plot to engulf the world in war are completely absent. Instead, the anime provides the Gary Stu villain Incognito who is defeated against what appear to be all odds.<br /><br />My primary complaint is not that the anime diverges from the manga, but that it does such a poor job.",negative
